Level,Date,State FIPS,State Postal Code,County FIPS,County Name,Population Staying at Home,Population Not Staying at Home,Number of Trips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Row ID,Week,Month
County,2020-04-03,6.0,CA,6083.0,Santa Barbara County,0.6429905102885412,0.35700948971145885,1017527.0,0.16282648062530414,0.12385060446070142,0.10183671183783179,0.10809244197682973,88968.0,53310.0,23581.0,7667.0,1276.0,490.0,06-06083-20200403,13,4
County,2020-04-04,6.0,CA,6083.0,Santa Barbara County,0.7171854247271467,0.28281457527285325,877502.0,0.12199190097879814,0.09172849304668898,0.04718781498488073,0.05608018361548879,79938.0,36045.0,21486.0,7274.0,1229.0,482.0,06-06083-20200404,13,4
County,2020-04-05,6.0,CA,6083.0,Santa Barbara County,0.8405420492387057,0.1594579507612943,782877.0,0.08110897524154653,0.08158321543186445,0.031810953074252434,0.0,63818.0,36687.0,15884.0,9340.0,1593.0,666.0,06-06083-20200405,14,4
County,2020-04-06,6.0,CA,6083.0,Santa Barbara County,0.7153471540490077,0.2846528459509923,999751.0,0.17251146380401755,0.12662732783509897,0.07837159816328816,0.09794212369092085,83751.0,49798.0,19990.0,5812.0,589.0,328.0,06-06083-20200406,14,4
County,2020-04-07,6.0,CA,6083.0,Santa Barbara County,0.6824892687339994,0.31751073126600066,1020902.0,0.16053319432080573,0.1356867616779967,0.09067980736924627,0.10347346231125737,97204.0,49452.0,26496.0,3632.0,245.0,288.0,06-06083-20200407,14,4
County,2020-04-08,6.0,CA,6083.0,Santa Barbara County,0.7177725164096938,0.28222748359030625,974709.0,0.1575126146511777,0.10669680343237056,0.08161048269683055,0.09093697445134995,82962.0,52660.0,25021.0,6737.0,424.0,269.0,06-06083-20200408,14,4
County,2020-04-09,6.0,CA,6083.0,Santa Barbara County,0.7464341398625628,0.2535658601374372,969458.0,0.14783288648232792,0.12723236366564294,0.08745436219061485,0.058630109924957825,78164.0,52571.0,26909.0,5461.0,374.0,520.0,06-06083-20200409,14,4
County,2020-04-10,6.0,CA,6083.0,Santa Barbara County,0.6272834016669554,0.3727165983330446,1031118.0,0.1833472941428711,0.12518030297801858,0.11371710157912421,0.08486757798589613,83622.0,53308.0,28220.0,5502.0,857.0,324.0,06-06083-20200410,14,4
County,2020-04-11,6.0,CA,6083.0,Santa Barbara County,0.7160401147234895,0.28395988527651056,949409.0,0.12976300956516895,0.12376203457676248,0.08125209989920484,0.0937884210991456,77197.0,45959.0,23173.0,5819.0,778.0,477.0,06-06083-20200411,14,4
County,2020-04-12,6.0,CA,6083.0,Santa Barbara County,0.9265269195973128,0.07347308040268714,785477.0,0.11552298383664066,0.06631813842207576,0.02906260499496024,0.016217115438101254,61195.0,26752.0,13659.0,3658.0,558.0,281.0,06-06083-20200412,15,4
County,2020-04-13,6.0,CA,6083.0,Santa Barbara County,0.7047025081326634,0.2952974918673365,994766.0,0.14399672928186086,0.12333413851409641,0.10625153992608355,0.07565821110062722,96240.0,55405.0,24867.0,4261.0,360.0,270.0,06-06083-20200413,15,4
County,2020-04-14,6.0,CA,6083.0,Santa Barbara County,0.7025755038401571,0.29742449615984295,910681.0,0.15248251920968856,0.0726710146427873,0.040701086347855304,0.03289690863673817,87929.0,53371.0,28476.0,7246.0,1396.0,587.0,06-06083-20200414,15,4
County,2020-04-15,6.0,CA,6083.0,Santa Barbara County,0.6216434717329792,0.3783565282670208,925645.0,0.1235957299891852,0.08799475482245764,0.038660544293873896,0.11578640923068126,96282.0,43097.0,28085.0,8660.0,816.0,214.0,06-06083-20200415,15,4
County,2020-04-16,6.0,CA,6083.0,Santa Barbara County,0.7220169005408943,0.2779830994591057,964173.0,0.14806725992224687,0.09875196981722396,0.07198790458058013,0.13957532419934654,91622.0,39027.0,22488.0,4684.0,714.0,480.0,06-06083-20200416,15,4
